tab	measurements
measurement	experiment	specimen	treat_dc_field	magn_mass	citations	instrument_codes	method_codes	quality	standard	timestamp
BRIC-20cIRM-VSM2-LP-BCR-BF-19810684	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.665	-0.0009943	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810685	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.708	-0.00146	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810686	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.7534	-0.001934	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810687	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.8017	-0.002412	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810688	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.8534	-0.002892	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810689	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.9081	-0.003367	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810690	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-0.9661	-0.003839	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810691	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-1.028	-0.004377	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810692	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-1.094	-0.004827	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810693	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-1.164	-0.005253	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810694	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-1.239	-0.005658	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810695	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-1.318	-0.00604	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810696	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-1.403	-0.006398	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810697	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-1.492	-0.006726	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810698	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-1.589	-0.007029	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810699	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-1.689	-0.007294	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-198106100	IRM-VSM2-LP-BCR-BF-198106	BRIC.20c	-1.796	-0.007522	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T15:48:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-1981071	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-2.664e-06	0.007466	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-1981072	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.0002506	0.007439	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-1981073	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.0005159	0.007425	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-1981074	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.0007987	0.007415	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-1981075	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.001101	0.007404	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-1981076	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.00142	0.007394	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-1981077	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.001761	0.007387	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-1981078	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.002122	0.007376	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-1981079	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.002507	0.007368	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810710	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.002917	0.00736	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810711	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.003354	0.007351	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810712	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.003818	0.007342	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810713	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.004311	0.007332	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810714	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.004838	0.007323	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810715	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.005395	0.007312	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810716	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.005991	0.007301	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
BRIC-20cIRM-VSM2-LP-BCR-BF-19810717	IRM-VSM2-LP-BCR-BF-198107	BRIC.20c	-0.006625	0.007288	This study	IRM-VSM2	LP-BCR-BF	g	300	2018-11-13T16:56:00.000-06:00
